customer_id,event_timestamp,feature_used,duration_secs
068b54d7-7461-4d1c-885e-f5b43efed384,2026-07-30 23:49:37,Team Settings,526
068b54d7-7461-4d1c-885e-f5b43efed384,2026-07-21 23:06:37,Integrations,1238
5d1e924a-5232-4255-8df9-610e13465816,2026-07-14 15:46:37,Reports,1758
5d1e924a-5232-4255-8df9-610e13465816,2026-06-26 08:00:37,Team Settings,388
5d1e924a-5232-4255-8df9-610e13465816,2026-06-17 04:50:37,Billing,1418
67855f87-2552-4273-9aff-1b2060638673,2026-08-10 04:51:37,Billing,323
14315c24-aa38-40f9-8eaa-bf5f242107d9,2026-06-27 06:01:37,Reports,966
14315c24-aa38-40f9-8eaa-bf5f242107d9,2026-05-15 21:44:37,Team Settings,710
14315c24-aa38-40f9-8eaa-bf5f242107d9,2026-05-20 12:04:37,Team Settings,702
14315c24-aa38-40f9-8eaa-bf5f242107d9,2026-08-06 15:34:37,Reports,1637
013b83f4-0c40-4a53-85f2-e2c165cac055,2026-06-07 14:35:37,Integrations,896
037ca95f-820c-4fdb-83a1-f491edd89c08,2026-08-03 06:42:37,Team Settings,293
037ca95f-820c-4fdb-83a1-f491edd89c08,2026-06-04 20:49:37,Reports,473
0825a209-a5eb-4a14-a463-3b942d2b593a,2026-07-23 13:02:37,Integrations,1040
0825a209-a5eb-4a14-a463-3b942d2b593a,2026-07-27 17:27:37,Team Settings,173
0825a209-a5eb-4a14-a463-3b942d2b593a,2026-06-28 02:55:37,Reports,1512
0825a209-a5eb-4a14-a463-3b942d2b593a,2026-08-02 01:04:37,Reports,46
a974822d-cc71-48a4-b411-8127968af6f1,2026-07-08 07:47:37,Reports,1056
a974822d-cc71-48a4-b411-8127968af6f1,2026-08-04 19:59:37,Integrations,757
4ac39e71-cab2-49d9-8b47-f57122404832,2026-08-09 23:05:37,Dashboard,1352
4ac39e71-cab2-49d9-8b47-f57122404832,2026-06-13 16:31:37,Integrations,692
be0fff09-d876-4715-918d-6b6508f652eb,2026-07-07 21:22:37,Billing,1120
be0fff09-d876-4715-918d-6b6508f652eb,2026-06-18 21:40:37,Team Settings,1573
be0fff09-d876-4715-918d-6b6508f652eb,2026-06-22 19:58:37,Reports,1315
03507060-2553-4558-aa6c-a21aa72cb840,2026-05-25 16:50:37,Billing,1435
0535cffd-9b93-4556-bf6e-b70464a1628d,2026-06-24 01:57:37,Reports,1373
0535cffd-9b93-4556-bf6e-b70464a1628d,2026-07-28 06:56:37,Integrations,1620
0535cffd-9b93-4556-bf6e-b70464a1628d,2026-08-06 11:46:37,Team Settings,1436
0535cffd-9b93-4556-bf6e-b70464a1628d,2026-05-31 23:06:37,Export,921
c0efe1bc-4798-4944-b956-aa3845c7677a,2026-05-17 23:20:37,Integrations,16
c0efe1bc-4798-4944-b956-aa3845c7677a,2026-06-11 10:08:37,Team Settings,1059
c0efe1bc-4798-4944-b956-aa3845c7677a,2026-06-28 15:15:37,Team Settings,495
c0efe1bc-4798-4944-b956-aa3845c7677a,2026-05-22 09:54:37,Team Settings,742
a74565ec-394a-44b5-93c1-f28e6a081d80,2026-06-05 01:10:37,Export,1401
a74565ec-394a-44b5-93c1-f28e6a081d80,2026-07-01 07:09:37,Integrations,1375
