customer_id,ticket_timestamp,subject,status
068b54d7-7461-4d1c-885e-f5b43efed384,2026-05-28 05:43:37,Feature request,resolved
5d1e924a-5232-4255-8df9-610e13465816,2026-06-20 01:08:37,Login issue,resolved
5d1e924a-5232-4255-8df9-610e13465816,2026-05-16 10:51:37,Slow dashboard load,resolved
c07c0a8a-bac0-47f9-b93d-57d61490a610,2026-05-18 10:49:37,Billing question,resolved
67855f87-2552-4273-9aff-1b2060638673,2026-07-16 20:33:37,Feature request,open
14315c24-aa38-40f9-8eaa-bf5f242107d9,2026-05-21 00:31:37,Can't find export button,pending
14315c24-aa38-40f9-8eaa-bf5f242107d9,2026-07-08 05:36:37,Feature request,open
592b837b-6df9-4267-8009-b8a7d1c63e01,2026-06-24 23:42:37,Slow dashboard load,open
592b837b-6df9-4267-8009-b8a7d1c63e01,2026-06-18 01:44:37,Slow dashboard load,resolved
3cbddf97-c9ff-4701-a979-2d2d341aa8fc,2026-07-02 22:16:37,Slow dashboard load,pending
7ac4c7f9-94a3-454b-afe5-0f5399679504,2026-06-18 13:59:37,Feature request,pending
a37b8137-7b88-4273-b2ed-b9993192e791,2026-06-08 22:51:37,Billing question,open
037ca95f-820c-4fdb-83a1-f491edd89c08,2026-05-25 11:43:37,Billing question,open
be0fff09-d876-4715-918d-6b6508f652eb,2026-06-05 02:41:37,Slow dashboard load,pending
be0fff09-d876-4715-918d-6b6508f652eb,2026-06-08 21:54:37,Login issue,resolved
bd7ab3f0-bffa-430c-ac66-9f2117926e9e,2026-08-04 03:07:37,How do I add teammates?,open
bd7ab3f0-bffa-430c-ac66-9f2117926e9e,2026-06-17 17:19:37,Billing question,open
03507060-2553-4558-aa6c-a21aa72cb840,2026-06-29 08:44:37,Feature request,resolved
03507060-2553-4558-aa6c-a21aa72cb840,2026-07-26 18:40:37,Slow dashboard load,pending
c0efe1bc-4798-4944-b956-aa3845c7677a,2026-07-29 17:10:37,Billing question,resolved
c0efe1bc-4798-4944-b956-aa3845c7677a,2026-07-26 00:36:37,Slow dashboard load,resolved
95d0a1a4-1c40-415e-b41d-cb1be763f447,2026-07-31 18:28:37,Login issue,open
a74565ec-394a-44b5-93c1-f28e6a081d80,2026-08-08 17:52:37,Login issue,open
46739327-a118-4564-80fc-16ba39a18129,2026-06-08 06:05:37,Login issue,pending
46739327-a118-4564-80fc-16ba39a18129,2026-07-13 14:01:37,Can't find export button,resolved
defd667c-3b78-4283-9f80-5efc4cade554,2026-05-20 23:26:37,How do I add teammates?,open
defd667c-3b78-4283-9f80-5efc4cade554,2026-06-20 06:01:37,Slow dashboard load,open
64eb9d06-c46f-41e7-ba93-2cce0b1726b6,2026-05-22 20:58:37,Login issue,resolved
9477c74b-fc76-42b8-b9af-7f66f0dd64b2,2026-06-28 23:57:37,Slow dashboard load,open
daf2d5c7-3576-45e8-8304-28ac337d2fd5,2026-07-20 07:36:37,Feature request,pending
f9961985-6563-49ac-8fc5-ba6092d7f149,2026-06-18 03:03:37,Can't find export button,pending
f9961985-6563-49ac-8fc5-ba6092d7f149,2026-07-31 17:04:37,How do I add teammates?,open
be2af142-ce1a-461b-955b-61be6a842be7,2026-07-26 09:16:37,Login issue,resolved
be2af142-ce1a-461b-955b-61be6a842be7,2026-05-26 11:57:37,Feature request,resolved
48ec32bc-1afa-485c-aa67-2d5da7703402,2026-05-31 01:16:37,Can't find export button,resolved
f94f0ba4-f238-4394-b918-cc72ec9f70bc,2026-07-15 09:54:37,Billing question,open
5f4f3a88-95e4-4499-98ca-0f37197e7d47,2026-05-17 12:12:37,Feature request,open
5f4f3a88-95e4-4499-98ca-0f37197e7d47,2026-06-09 20:26:37,Can't find export button,resolved
0fa0b474-6adb-4723-8acc-899fbd69e615,2026-05-14 08:17:37,Can't find export button,resolved
caef9733-6f7f-4503-9660-8c35495f765c,2026-08-05 21:05:37,Billing question,resolved
caef9733-6f7f-4503-9660-8c35495f765c,2026-06-10 04:40:37,Slow dashboard load,resolved
8dcff16d-9d50-4ba5-a7e1-3cfb997f089f,2026-06-19 01:32:37,Can't find export button,open
8dcff16d-9d50-4ba5-a7e1-3cfb997f089f,2026-07-27 18:50:37,How do I add teammates?,resolved
b1550860-620e-485d-b8d6-6e9ef02d96a4,2026-07-29 17:15:37,Slow dashboard load,open
b1550860-620e-485d-b8d6-6e9ef02d96a4,2026-06-06 03:41:37,Can't find export button,open
7dc0c175-44a1-44c5-bebe-d28d3c2b4aca,2026-07-12 23:35:37,Can't find export button,open
4dda9424-bed7-4762-a510-6ac32dc692f3,2026-07-19 08:44:37,Login issue,resolved
18680669-ddb4-47ef-9151-a24ec993f075,2026-05-13 10:36:37,Login issue,resolved
18680669-ddb4-47ef-9151-a24ec993f075,2026-05-22 03:40:37,Slow dashboard load,pending
0b27d8e2-ee30-40f0-8752-251df023674e,2026-06-12 18:39:37,Can't find export button,resolved
0b27d8e2-ee30-40f0-8752-251df023674e,2026-06-01 02:58:37,Feature request,open
121c3215-7ba2-4984-90ae-7eec5fc9c6ca,2026-07-15 19:43:37,Can't find export button,pending
121c3215-7ba2-4984-90ae-7eec5fc9c6ca,2026-06-29 13:16:37,Slow dashboard load,pending
