customer_id,payment_timestamp,amount_usd,status
068b54d7-7461-4d1c-885e-f5b43efed384,2026-06-14 05:15:37,244.4,refunded
068b54d7-7461-4d1c-885e-f5b43efed384,2026-06-16 00:31:37,88.7,success
5d1e924a-5232-4255-8df9-610e13465816,2026-06-03 08:51:37,78.81,refunded
c07c0a8a-bac0-47f9-b93d-57d61490a610,2026-08-08 16:29:37,296.83,failed
c07c0a8a-bac0-47f9-b93d-57d61490a610,2026-06-09 06:55:37,81.4,refunded
cfc0646f-0927-4e8e-b40f-75090340aa0a,2026-05-27 00:56:37,146.15,refunded
67855f87-2552-4273-9aff-1b2060638673,2026-07-26 17:28:37,276.73,success
14315c24-aa38-40f9-8eaa-bf5f242107d9,2026-05-14 05:54:37,240.92,refunded
592b837b-6df9-4267-8009-b8a7d1c63e01,2026-05-26 17:56:37,77.66,refunded
3cbddf97-c9ff-4701-a979-2d2d341aa8fc,2026-07-27 21:44:37,145.79,success
3cbddf97-c9ff-4701-a979-2d2d341aa8fc,2026-06-26 02:41:37,274.43,refunded
013b83f4-0c40-4a53-85f2-e2c165cac055,2026-05-29 06:22:37,196.43,success
7ac4c7f9-94a3-454b-afe5-0f5399679504,2026-05-16 18:35:37,124.95,success
7ac4c7f9-94a3-454b-afe5-0f5399679504,2026-06-22 13:08:37,209.41,refunded
fda5e6a2-9c88-4f0f-8f33-242b89edc6cb,2026-08-03 22:53:37,188.76,refunded
a37b8137-7b88-4273-b2ed-b9993192e791,2026-05-27 14:18:37,224.27,refunded
037ca95f-820c-4fdb-83a1-f491edd89c08,2026-07-07 03:16:37,242.55,failed
037ca95f-820c-4fdb-83a1-f491edd89c08,2026-08-10 21:16:37,201.52,refunded
0825a209-a5eb-4a14-a463-3b942d2b593a,2026-07-15 17:17:37,213.13,refunded
a974822d-cc71-48a4-b411-8127968af6f1,2026-06-13 17:05:38,141.61,success
4ac39e71-cab2-49d9-8b47-f57122404832,2026-08-05 12:22:38,43.68,failed
be0fff09-d876-4715-918d-6b6508f652eb,2026-07-02 00:27:38,71.38,failed
be0fff09-d876-4715-918d-6b6508f652eb,2026-06-13 02:03:38,99.15,refunded
bd7ab3f0-bffa-430c-ac66-9f2117926e9e,2026-07-21 13:31:38,287.05,failed
bd7ab3f0-bffa-430c-ac66-9f2117926e9e,2026-06-06 05:58:38,255.08,refunded
03507060-2553-4558-aa6c-a21aa72cb840,2026-06-11 14:23:38,136.19,failed
0535cffd-9b93-4556-bf6e-b70464a1628d,2026-06-18 20:51:38,154.8,failed
0535cffd-9b93-4556-bf6e-b70464a1628d,2026-07-19 22:41:38,11.0,success
c0efe1bc-4798-4944-b956-aa3845c7677a,2026-06-29 04:07:38,147.09,success
c0efe1bc-4798-4944-b956-aa3845c7677a,2026-05-19 12:23:38,74.41,failed
95d0a1a4-1c40-415e-b41d-cb1be763f447,2026-07-01 01:48:38,250.18,success
a74565ec-394a-44b5-93c1-f28e6a081d80,2026-07-09 02:05:38,126.48,success
a74565ec-394a-44b5-93c1-f28e6a081d80,2026-05-20 09:14:38,75.6,success
b23e7a6f-866d-43ed-a2ce-fc6e82acbfc2,2026-06-17 13:02:38,51.0,refunded
b23e7a6f-866d-43ed-a2ce-fc6e82acbfc2,2026-05-21 07:00:38,290.66,refunded
46739327-a118-4564-80fc-16ba39a18129,2026-07-19 02:34:38,30.49,refunded
41c3619a-656f-4349-9db4-04a990eaa15e,2026-07-15 02:55:38,59.49,success
41d4e7ce-b887-4117-a255-f6a3a39764e8,2026-07-23 07:39:38,201.95,success
41d4e7ce-b887-4117-a255-f6a3a39764e8,2026-06-23 13:58:38,96.54,success
dbf0c0e2-c5d1-411a-bbb2-f7944332f64d,2026-06-28 10:47:38,19.96,refunded
dbf0c0e2-c5d1-411a-bbb2-f7944332f64d,2026-07-25 17:02:38,230.5,success
defd667c-3b78-4283-9f80-5efc4cade554,2026-07-06 11:36:38,241.77,refunded
defd667c-3b78-4283-9f80-5efc4cade554,2026-05-13 06:40:38,45.46,success
64eb9d06-c46f-41e7-ba93-2cce0b1726b6,2026-07-10 04:01:38,165.15,refunded
64eb9d06-c46f-41e7-ba93-2cce0b1726b6,2026-08-08 03:33:38,21.44,refunded
9477c74b-fc76-42b8-b9af-7f66f0dd64b2,2026-05-14 19:49:38,56.49,refunded
9477c74b-fc76-42b8-b9af-7f66f0dd64b2,2026-06-25 17:41:38,197.79,refunded
fcb57156-0ce1-4205-8a90-edabdf0ad96e,2026-06-10 08:37:38,167.72,failed
fcb57156-0ce1-4205-8a90-edabdf0ad96e,2026-07-15 22:58:38,123.31,success
daf2d5c7-3576-45e8-8304-28ac337d2fd5,2026-07-14 12:20:38,74.09,refunded
daf2d5c7-3576-45e8-8304-28ac337d2fd5,2026-07-26 07:16:38,71.8,success
f9961985-6563-49ac-8fc5-ba6092d7f149,2026-06-15 03:51:38,287.62,refunded
f9961985-6563-49ac-8fc5-ba6092d7f149,2026-06-08 13:44:38,109.33,success
be2af142-ce1a-461b-955b-61be6a842be7,2026-05-30 04:24:38,254.31,failed
dd414b92-77a9-4ba7-a5b8-6b805733b6d4,2026-06-01 15:12:38,227.34,success
48ec32bc-1afa-485c-aa67-2d5da7703402,2026-05-28 15:11:38,47.46,success
d9dc0b2c-818a-4219-810a-e52bd02c4acd,2026-05-12 10:00:38,202.33,failed
d9dc0b2c-818a-4219-810a-e52bd02c4acd,2026-06-10 00:09:38,125.21,success
f94f0ba4-f238-4394-b918-cc72ec9f70bc,2026-08-04 09:09:38,100.92,success
f94f0ba4-f238-4394-b918-cc72ec9f70bc,2026-07-05 20:03:38,202.72,success
ba67eb55-7b78-41ef-9db8-37c403ae2cc0,2026-05-21 16:28:38,161.79,success
2a4101c1-20b2-499b-8a31-bc86192f0767,2026-07-13 20:40:38,214.06,refunded
5f4f3a88-95e4-4499-98ca-0f37197e7d47,2026-06-23 20:02:38,199.68,success
0fa0b474-6adb-4723-8acc-899fbd69e615,2026-06-19 08:48:38,42.55,success
caef9733-6f7f-4503-9660-8c35495f765c,2026-07-03 15:16:38,102.89,success
9072261a-644c-4b21-9b65-d74971291e88,2026-06-06 06:37:38,205.23,failed
8dcff16d-9d50-4ba5-a7e1-3cfb997f089f,2026-07-30 15:19:38,216.03,success
b1550860-620e-485d-b8d6-6e9ef02d96a4,2026-08-01 07:12:38,168.86,success
7dc0c175-44a1-44c5-bebe-d28d3c2b4aca,2026-07-28 02:15:38,158.5,failed
7dc0c175-44a1-44c5-bebe-d28d3c2b4aca,2026-05-13 09:11:38,144.8,refunded
4dda9424-bed7-4762-a510-6ac32dc692f3,2026-07-03 17:14:38,118.8,refunded
4dda9424-bed7-4762-a510-6ac32dc692f3,2026-06-22 06:57:38,130.99,success
18680669-ddb4-47ef-9151-a24ec993f075,2026-06-07 15:01:38,90.15,failed
18680669-ddb4-47ef-9151-a24ec993f075,2026-08-09 21:46:38,215.41,success
0b27d8e2-ee30-40f0-8752-251df023674e,2026-05-25 02:48:38,173.47,success
121c3215-7ba2-4984-90ae-7eec5fc9c6ca,2026-06-26 10:42:38,15.04,success
121c3215-7ba2-4984-90ae-7eec5fc9c6ca,2026-07-29 22:10:38,290.59,success
c6a10a5d-eb98-4cf5-bbee-344d85e75500,2026-08-08 08:37:38,235.45,refunded
c6a10a5d-eb98-4cf5-bbee-344d85e75500,2026-06-30 23:40:38,11.87,success
42c1999c-562f-4287-aa3f-2c4b7bc2616e,2026-05-25 17:06:38,130.21,refunded
42c1999c-562f-4287-aa3f-2c4b7bc2616e,2026-06-28 03:33:38,63.08,failed
e8f8e13b-0df2-426b-ae14-85a0f22503eb,2026-06-18 19:10:38,45.17,success
e8f8e13b-0df2-426b-ae14-85a0f22503eb,2026-05-31 00:59:38,59.34,failed
e50536fe-971f-4140-a68a-679bd25fde32,2026-06-01 18:13:38,214.81,refunded
e50536fe-971f-4140-a68a-679bd25fde32,2026-06-14 18:34:38,10.45,failed
c3c131d4-3407-4cd1-b37f-1f299c36096a,2026-08-05 21:09:38,284.91,failed
59484897-fdc8-44c0-a6ee-020ffb371306,2026-06-03 04:54:38,297.11,failed
59484897-fdc8-44c0-a6ee-020ffb371306,2026-06-18 17:40:38,161.57,refunded
b5783987-2cb1-4508-b836-b346df6fff76,2026-07-16 18:28:38,230.0,failed
b5783987-2cb1-4508-b836-b346df6fff76,2026-05-23 23:05:38,19.55,success
16dcfca0-b78e-4fcc-b2b0-80fafc998620,2026-05-27 19:07:38,27.11,success
d6616808-7a72-4f5c-8d16-274ef16368e2,2026-07-24 20:26:38,26.4,refunded
d6616808-7a72-4f5c-8d16-274ef16368e2,2026-07-10 02:12:38,72.07,refunded
b3f01b66-2c6b-4677-b5e9-9b640179d694,2026-08-09 16:04:38,241.0,success
b3f01b66-2c6b-4677-b5e9-9b640179d694,2026-06-09 20:28:38,12.22,failed
d79d9751-cff8-4201-b5e6-7883566fd3ee,2026-06-05 18:28:38,64.83,failed
d79d9751-cff8-4201-b5e6-7883566fd3ee,2026-05-15 03:58:38,75.54,failed
31943c00-6222-475b-b8e5-f73b716ac78b,2026-06-25 17:56:38,268.43,failed
31943c00-6222-475b-b8e5-f73b716ac78b,2026-07-14 09:06:38,151.5,failed
f1c180b9-6c66-416f-9809-f6cc0ddac29c,2026-05-31 18:45:38,39.45,failed
