customer_id,login_timestamp,device,ip_country
068b54d7-7461-4d1c-885e-f5b43efed384,2026-07-22 21:08:37,Chrome/Windows,US
068b54d7-7461-4d1c-885e-f5b43efed384,2026-06-04 06:26:37,Firefox/Linux,US
5d1e924a-5232-4255-8df9-610e13465816,2026-08-07 07:22:37,Safari/iOS,US
c07c0a8a-bac0-47f9-b93d-57d61490a610,2026-07-30 16:22:37,Chrome/Windows,BR
67855f87-2552-4273-9aff-1b2060638673,2026-05-22 13:12:37,Chrome/Windows,BR
14315c24-aa38-40f9-8eaa-bf5f242107d9,2026-08-05 02:47:37,Firefox/Linux,UK
14315c24-aa38-40f9-8eaa-bf5f242107d9,2026-07-04 20:40:37,Firefox/Linux,US
14315c24-aa38-40f9-8eaa-bf5f242107d9,2026-05-30 00:14:37,Safari/Mac,US
592b837b-6df9-4267-8009-b8a7d1c63e01,2026-06-25 06:14:37,Chrome/Windows,BR
013b83f4-0c40-4a53-85f2-e2c165cac055,2026-06-08 12:15:37,Safari/iOS,DE
7ac4c7f9-94a3-454b-afe5-0f5399679504,2026-05-28 19:26:37,Chrome/Android,UK
7ac4c7f9-94a3-454b-afe5-0f5399679504,2026-07-18 11:00:37,Safari/Mac,US
7ac4c7f9-94a3-454b-afe5-0f5399679504,2026-05-30 00:16:37,Safari/iOS,DE
fda5e6a2-9c88-4f0f-8f33-242b89edc6cb,2026-07-05 14:45:37,Chrome/Windows,BR
fda5e6a2-9c88-4f0f-8f33-242b89edc6cb,2026-06-19 04:01:37,Chrome/Android,UK
fda5e6a2-9c88-4f0f-8f33-242b89edc6cb,2026-06-09 20:47:37,Chrome/Windows,BR
a37b8137-7b88-4273-b2ed-b9993192e791,2026-06-28 11:27:37,Firefox/Linux,IN
a37b8137-7b88-4273-b2ed-b9993192e791,2026-05-28 19:45:37,Chrome/Windows,DE
037ca95f-820c-4fdb-83a1-f491edd89c08,2026-05-13 12:45:37,Chrome/Windows,CA
037ca95f-820c-4fdb-83a1-f491edd89c08,2026-05-14 00:08:37,Firefox/Linux,CA
037ca95f-820c-4fdb-83a1-f491edd89c08,2026-06-15 00:04:37,Safari/iOS,CA
0825a209-a5eb-4a14-a463-3b942d2b593a,2026-08-08 19:27:37,Safari/Mac,BR
0825a209-a5eb-4a14-a463-3b942d2b593a,2026-07-27 18:46:37,Safari/Mac,DE
a974822d-cc71-48a4-b411-8127968af6f1,2026-07-10 21:24:37,Safari/iOS,US
4ac39e71-cab2-49d9-8b47-f57122404832,2026-06-14 21:14:37,Chrome/Android,UK
be0fff09-d876-4715-918d-6b6508f652eb,2026-06-02 01:04:37,Safari/iOS,DE
be0fff09-d876-4715-918d-6b6508f652eb,2026-05-15 21:35:37,Safari/Mac,US
be0fff09-d876-4715-918d-6b6508f652eb,2026-07-20 05:35:37,Safari/Mac,US
bd7ab3f0-bffa-430c-ac66-9f2117926e9e,2026-05-28 04:33:37,Chrome/Android,US
bd7ab3f0-bffa-430c-ac66-9f2117926e9e,2026-07-23 20:15:37,Chrome/Android,BR
bd7ab3f0-bffa-430c-ac66-9f2117926e9e,2026-05-30 23:41:37,Firefox/Linux,BR
0535cffd-9b93-4556-bf6e-b70464a1628d,2026-05-15 16:24:37,Safari/iOS,IN
0535cffd-9b93-4556-bf6e-b70464a1628d,2026-06-22 06:19:37,Safari/iOS,US
0535cffd-9b93-4556-bf6e-b70464a1628d,2026-07-18 07:36:37,Safari/iOS,UK
95d0a1a4-1c40-415e-b41d-cb1be763f447,2026-05-27 08:43:37,Chrome/Windows,BR
95d0a1a4-1c40-415e-b41d-cb1be763f447,2026-07-22 16:43:37,Chrome/Android,BR
46739327-a118-4564-80fc-16ba39a18129,2026-05-24 21:40:37,Chrome/Android,DE
41c3619a-656f-4349-9db4-04a990eaa15e,2026-06-12 06:42:37,Safari/iOS,IN
41c3619a-656f-4349-9db4-04a990eaa15e,2026-06-10 18:30:37,Chrome/Windows,UK
dbf0c0e2-c5d1-411a-bbb2-f7944332f64d,2026-07-08 17:56:37,Safari/Mac,BR
dbf0c0e2-c5d1-411a-bbb2-f7944332f64d,2026-08-09 03:16:37,Chrome/Android,UK
64eb9d06-c46f-41e7-ba93-2cce0b1726b6,2026-05-21 07:05:37,Chrome/Android,BR
64eb9d06-c46f-41e7-ba93-2cce0b1726b6,2026-06-26 04:27:37,Safari/Mac,BR
9477c74b-fc76-42b8-b9af-7f66f0dd64b2,2026-05-22 02:10:37,Safari/Mac,UK
9477c74b-fc76-42b8-b9af-7f66f0dd64b2,2026-06-20 09:58:37,Safari/Mac,UK
fcb57156-0ce1-4205-8a90-edabdf0ad96e,2026-06-26 10:48:37,Chrome/Windows,DE
fcb57156-0ce1-4205-8a90-edabdf0ad96e,2026-06-12 01:37:37,Firefox/Linux,DE
fcb57156-0ce1-4205-8a90-edabdf0ad96e,2026-06-14 10:27:37,Chrome/Android,US
daf2d5c7-3576-45e8-8304-28ac337d2fd5,2026-07-29 02:19:37,Safari/Mac,DE
f9961985-6563-49ac-8fc5-ba6092d7f149,2026-06-10 13:52:37,Firefox/Linux,US
be2af142-ce1a-461b-955b-61be6a842be7,2026-05-19 21:58:37,Chrome/Windows,CA
be2af142-ce1a-461b-955b-61be6a842be7,2026-07-26 20:59:37,Safari/Mac,IN
be2af142-ce1a-461b-955b-61be6a842be7,2026-07-19 19:59:37,Chrome/Android,US
dd414b92-77a9-4ba7-a5b8-6b805733b6d4,2026-06-12 21:02:37,Chrome/Windows,CA
dd414b92-77a9-4ba7-a5b8-6b805733b6d4,2026-07-22 04:41:37,Chrome/Windows,UK
dd414b92-77a9-4ba7-a5b8-6b805733b6d4,2026-05-27 18:58:37,Safari/Mac,BR
48ec32bc-1afa-485c-aa67-2d5da7703402,2026-05-18 22:40:37,Firefox/Linux,BR
48ec32bc-1afa-485c-aa67-2d5da7703402,2026-07-26 09:49:37,Chrome/Windows,BR
48ec32bc-1afa-485c-aa67-2d5da7703402,2026-07-24 19:54:37,Safari/Mac,UK
f94f0ba4-f238-4394-b918-cc72ec9f70bc,2026-07-15 00:17:37,Safari/Mac,BR
f94f0ba4-f238-4394-b918-cc72ec9f70bc,2026-07-01 01:15:37,Safari/iOS,UK
2a4101c1-20b2-499b-8a31-bc86192f0767,2026-06-13 12:12:37,Firefox/Linux,IN
2a4101c1-20b2-499b-8a31-bc86192f0767,2026-06-08 05:15:37,Safari/Mac,BR
0fa0b474-6adb-4723-8acc-899fbd69e615,2026-07-18 14:49:37,Safari/Mac,UK
0fa0b474-6adb-4723-8acc-899fbd69e615,2026-07-23 18:10:37,Chrome/Windows,BR
0fa0b474-6adb-4723-8acc-899fbd69e615,2026-08-03 23:06:37,Firefox/Linux,BR
caef9733-6f7f-4503-9660-8c35495f765c,2026-07-28 16:46:37,Safari/Mac,UK
caef9733-6f7f-4503-9660-8c35495f765c,2026-07-07 08:00:37,Chrome/Windows,BR
caef9733-6f7f-4503-9660-8c35495f765c,2026-06-14 16:48:37,Chrome/Windows,IN
9072261a-644c-4b21-9b65-d74971291e88,2026-05-24 17:11:37,Firefox/Linux,UK
9072261a-644c-4b21-9b65-d74971291e88,2026-05-15 01:21:37,Firefox/Linux,BR
8dcff16d-9d50-4ba5-a7e1-3cfb997f089f,2026-06-08 02:05:37,Firefox/Linux,DE
8dcff16d-9d50-4ba5-a7e1-3cfb997f089f,2026-06-01 02:56:37,Safari/iOS,UK
8dcff16d-9d50-4ba5-a7e1-3cfb997f089f,2026-06-19 06:24:37,Safari/iOS,DE
7dc0c175-44a1-44c5-bebe-d28d3c2b4aca,2026-06-18 07:36:37,Chrome/Android,US
4dda9424-bed7-4762-a510-6ac32dc692f3,2026-05-20 12:26:37,Safari/Mac,DE
18680669-ddb4-47ef-9151-a24ec993f075,2026-06-13 02:02:37,Chrome/Windows,IN
0b27d8e2-ee30-40f0-8752-251df023674e,2026-07-21 11:56:37,Safari/Mac,UK
0b27d8e2-ee30-40f0-8752-251df023674e,2026-05-12 20:17:37,Safari/iOS,DE
0b27d8e2-ee30-40f0-8752-251df023674e,2026-06-19 03:27:37,Chrome/Android,US
121c3215-7ba2-4984-90ae-7eec5fc9c6ca,2026-08-08 23:14:37,Safari/iOS,IN
121c3215-7ba2-4984-90ae-7eec5fc9c6ca,2026-05-13 09:25:37,Chrome/Android,BR
